,input_HUFL,input_HULL,input_MUFL,input_MULL,input_LUFL,input_LULL,input_OT
output_HUFL,0.007795344446916786,0.0029321143029673743,0.008905456485043673,0.0028607153614488277,0.0034301436725459695,0.0036904398456787807,0.0036596295648005663
output_HULL,0.00427973676673393,0.005061463472752327,0.004341584577802625,0.004144263601901257,0.0029141826128309964,0.003793630713003859,0.0028102622660460133
output_MUFL,0.008049926241485034,0.002991093510986525,0.009126324862339432,0.0029180242820943452,0.0034927054337202538,0.003817831029873508,0.003703553388719115
output_MULL,0.004170663333626501,0.0047740951138867385,0.004151289008944277,0.004642074358417789,0.0025286799277572498,0.002583949043027823,0.0025761862223410226
output_LUFL,0.0035447142102643125,0.002487869531401435,0.004280981019786453,0.002536487545192662,0.004546492176977856,0.003126189189784553,0.0034343691625146693
output_LULL,0.0033894375131000346,0.002779336639585361,0.003502875059483592,0.0019071052887530825,0.0029868714540365973,0.008791186602245855,0.002401683470024278
output_OT,0.0036385622286818813,0.0019450601096392857,0.0031416909877217576,0.0015643299876176337,0.002299279157029443,0.002231090542691653,0.0065941803416084185
