model,seed,wall_clock_seconds
LR,deterministic,0.679447
MLP,42,5.036133
MLP,123,6.821142
MLP,456,4.214929
MLP,789,6.288954
MLP,1024,5.801512
LSTM,42,8.669576
LSTM,123,9.335968
LSTM,456,11.31544
LSTM,789,8.27197
LSTM,1024,7.312086
TFT,42,265.625072
TFT,123,421.501981
TFT,456,337.495113
TFT,789,1029.262469
TFT,1024,319.507888
