seed,n_test_samples,best_epoch,checkpoint_path,n_params,mse_scaled,mae_scaled,rmse_scaled,mse_original,mae_original,rmse_original
42,3365,5,C:\Users\diren\Downloads\thesis_project\checkpoints\bachelor_safe_v2\tft_seed42.ckpt,18261,0.6551653146743774,0.6095128655433655,0.8094228281154279,13.84356689453125,2.3535571098327637,3.720694410258823
123,3365,14,C:\Users\diren\Downloads\thesis_project\checkpoints\bachelor_safe_v2\tft_seed123.ckpt,18261,0.6464403867721558,0.6021556258201599,0.804015165760047,14.989084243774414,2.366664171218872,3.8715738716669756
456,3365,9,C:\Users\diren\Downloads\thesis_project\checkpoints\bachelor_safe_v2\tft_seed456.ckpt,18261,0.6558529138565063,0.5872361660003662,0.8098474633265862,13.745192527770996,2.2471330165863037,3.7074509474531143
789,3365,34,C:\Users\diren\Downloads\thesis_project\checkpoints\bachelor_safe_v2\tft_seed789.ckpt,18261,0.6309689879417419,0.5917474031448364,0.794335563815282,12.62498950958252,2.217306137084961,3.5531661246812707
1024,3365,1,C:\Users\diren\Downloads\thesis_project\checkpoints\bachelor_safe_v2\tft_seed1024.ckpt,18261,1.0572959184646606,0.7297025322914124,1.0282489574342688,26.499141693115234,2.9387803077697754,5.1477317036841805
