,input_HUFL,input_HULL,input_MUFL,input_MULL,input_LUFL,input_LULL,input_OT
output_HUFL,0.010159669962364885,0.004767070068573194,0.009352695965764301,0.003991159462670634,0.004838690805775512,0.004554500663574071,0.007900117758732934
output_HULL,0.006272493861092803,0.007324677032083238,0.005764982491234657,0.005994782801665386,0.004298677388492126,0.005275808458732632,0.007729206688129016
output_MUFL,0.009929798588392635,0.004704073303363306,0.009391455222577151,0.003992680746809807,0.004527804088209604,0.004256303520701531,0.007224512381043187
output_MULL,0.006493942144978998,0.006867994887245124,0.005874845563888579,0.006406664150848779,0.0038309533455395785,0.004538183930700651,0.00763689307407682
output_LUFL,0.006557785425512481,0.004934628381142381,0.006839783625154928,0.0038530357906992425,0.0072010786618726345,0.0048210453253341445,0.00974266858669381
output_LULL,0.005302321785536286,0.005024596773015174,0.005023165947492971,0.003301857524458292,0.005165531238537543,0.008644443571710075,0.006470249929094646
output_OT,0.004823717616104106,0.0035374370979736848,0.004582363836413158,0.002929498837846311,0.0030691767607522917,0.0032640320179504897,0.012893718086260872
