model,seed,epoch,train_loss,val_loss,is_best_epoch
TFT,42,0,5.625648021697998,5.647980690002441,False
TFT,42,1,3.6208789348602295,5.423232078552246,False
TFT,42,2,3.1100172996520996,4.632077693939209,False
TFT,42,3,2.4580330848693848,3.4980649948120117,False
TFT,42,4,2.2126431465148926,3.470294713973999,False
TFT,42,5,2.0884456634521484,3.3095219135284424,True
TFT,42,6,1.988052248954773,3.6326637268066406,False
TFT,42,7,1.9193607568740845,3.3972134590148926,False
TFT,42,8,1.8798764944076538,3.4014816284179688,False
TFT,42,9,1.86404550075531,3.423647403717041,False
TFT,42,10,1.8504388332366943,3.4001619815826416,False
TFT,42,11,1.846713900566101,3.426192283630371,False
TFT,42,12,1.8438899517059326,3.3904848098754883,False
TFT,42,13,1.8407964706420898,3.4054818153381348,False
TFT,42,14,1.8448489904403687,3.4189836978912354,False
TFT,42,15,1.84056556224823,3.4073760509490967,False
TFT,123,0,5.259317398071289,5.743471145629883,False
TFT,123,1,3.634190559387207,5.620657920837402,False
TFT,123,2,3.1197471618652344,4.477196216583252,False
TFT,123,3,2.3893353939056396,3.874847888946533,False
TFT,123,4,2.1663126945495605,3.638247489929199,False
TFT,123,5,2.059934139251709,3.5605103969573975,False
TFT,123,6,1.984381079673767,3.4258265495300293,False
TFT,123,7,1.9284061193466187,3.3401072025299072,False
TFT,123,8,1.8873229026794434,3.441408157348633,False
TFT,123,9,1.836740493774414,3.2831881046295166,False
TFT,123,10,1.8157196044921875,3.2675747871398926,False
TFT,123,11,1.7976690530776978,3.239515542984009,False
TFT,123,12,1.7790701389312744,3.2252719402313232,False
TFT,123,13,1.768913745880127,3.1812829971313477,False
TFT,123,14,1.7511063814163208,3.091061592102051,True
TFT,123,15,1.7388473749160767,3.1253774166107178,False
TFT,123,16,1.7186838388442993,3.121551513671875,False
TFT,123,17,1.7059921026229858,3.1566169261932373,False
TFT,123,18,1.6981542110443115,3.13537859916687,False
TFT,123,19,1.6933833360671997,3.157439708709717,False
TFT,123,20,1.6976227760314941,3.127664804458618,False
TFT,123,21,1.6940741539001465,3.1296958923339844,False
TFT,123,22,1.6936670541763306,3.1350677013397217,False
TFT,123,23,1.690248966217041,3.1346383094787598,False
TFT,123,24,1.6913725137710571,3.1382946968078613,False
TFT,456,0,4.938230037689209,7.191870212554932,False
TFT,456,1,3.589446783065796,6.177740097045898,False
TFT,456,2,2.8817012310028076,4.592469215393066,False
TFT,456,3,2.3227412700653076,3.8150675296783447,False
TFT,456,4,2.1370961666107178,3.630326986312866,False
TFT,456,5,2.043078899383545,3.5762593746185303,False
TFT,456,6,1.970677137374878,3.5079987049102783,False
TFT,456,7,1.9088237285614014,3.526350498199463,False
TFT,456,8,1.84671950340271,3.4085936546325684,False
TFT,456,9,1.8184500932693481,3.3209714889526367,True
TFT,456,10,1.8013173341751099,3.6640052795410156,False
TFT,456,11,1.7685052156448364,3.3945605754852295,False
TFT,456,12,1.7534849643707275,3.3860867023468018,False
TFT,456,13,1.744941234588623,3.360194683074951,False
TFT,456,14,1.7431038618087769,3.3570220470428467,False
TFT,456,15,1.7390401363372803,3.342542886734009,False
TFT,456,16,1.7421010732650757,3.349299669265747,False
TFT,456,17,1.7399944067001343,3.357372522354126,False
TFT,456,18,1.7374616861343384,3.346857786178589,False
TFT,456,19,1.7364317178726196,3.3409862518310547,False
TFT,789,0,5.357406139373779,6.260152339935303,False
TFT,789,1,4.00873327255249,6.4867262840271,False
TFT,789,2,3.2312726974487305,5.5164289474487305,False
TFT,789,3,2.6119320392608643,4.588000297546387,False
TFT,789,4,2.421226978302002,4.001914978027344,False
TFT,789,5,2.3196182250976562,3.8220298290252686,False
TFT,789,6,2.237550973892212,3.7161002159118652,False
TFT,789,7,2.172682762145996,3.4311516284942627,False
TFT,789,8,2.1152288913726807,3.659214973449707,False
TFT,789,9,2.0731496810913086,3.4114253520965576,False
TFT,789,10,2.0466372966766357,3.3851866722106934,False
TFT,789,11,2.0259392261505127,3.430568218231201,False
TFT,789,12,2.006209373474121,3.371943712234497,False
TFT,789,13,1.9963302612304688,3.3215744495391846,False
TFT,789,14,1.9840139150619507,3.360893487930298,False
TFT,789,15,1.9760770797729492,3.3707664012908936,False
TFT,789,16,1.9708459377288818,3.3177101612091064,False
TFT,789,17,1.9695762395858765,3.337339162826538,False
TFT,789,18,1.964041829109192,3.3541574478149414,False
TFT,789,19,1.9613170623779297,3.3444149494171143,False
TFT,789,20,1.9618059396743774,3.3182995319366455,False
TFT,789,21,1.9617879390716553,3.3122575283050537,False
TFT,789,22,1.9644230604171753,3.311783790588379,False
TFT,789,23,1.9584306478500366,3.3184096813201904,False
TFT,789,24,1.9612513780593872,3.3333921432495117,False
TFT,789,25,1.9623081684112549,3.310293436050415,False
TFT,789,26,1.957560658454895,3.328375816345215,False
TFT,789,27,1.9576067924499512,3.326601982116699,False
TFT,789,28,1.954158067703247,3.312518358230591,False
TFT,789,29,1.9578460454940796,3.310490608215332,False
TFT,789,30,1.9521410465240479,3.3390369415283203,False
TFT,789,31,1.9533582925796509,3.318621873855591,False
TFT,789,32,1.9544801712036133,3.322192907333374,False
TFT,789,33,1.9544061422348022,3.318824291229248,False
TFT,789,34,1.950408697128296,3.2979207038879395,True
TFT,789,35,1.9536066055297852,3.3185980319976807,False
TFT,789,36,1.9508651494979858,3.3054912090301514,False
TFT,789,37,1.950501799583435,3.30778431892395,False
TFT,789,38,1.9498014450073242,3.3213837146759033,False
TFT,789,39,1.9519226551055908,3.3187670707702637,False
TFT,789,40,1.9501595497131348,3.3114445209503174,False
TFT,789,41,1.9508781433105469,3.309584140777588,False
TFT,789,42,1.9510629177093506,3.309144973754883,False
TFT,789,43,1.9485822916030884,3.3261663913726807,False
TFT,789,44,1.9467931985855103,3.3187661170959473,False
TFT,1024,0,5.1412153244018555,5.8449554443359375,False
TFT,1024,1,3.652024984359741,5.31122350692749,True
TFT,1024,2,3.435947895050049,5.40194034576416,False
TFT,1024,3,3.2698423862457275,5.509419918060303,False
TFT,1024,4,3.190735340118408,5.755993843078613,False
TFT,1024,5,3.144943952560425,5.875284194946289,False
TFT,1024,6,3.121148109436035,5.870733737945557,False
TFT,1024,7,3.1102607250213623,5.655950546264648,False
TFT,1024,8,3.0998694896698,5.788984775543213,False
TFT,1024,9,3.0956225395202637,5.779595851898193,False
TFT,1024,10,3.092827796936035,5.758025646209717,False
TFT,1024,11,3.0883049964904785,5.7893290519714355,False
