,input_HUFL,input_HULL,input_MUFL,input_MULL,input_LUFL,input_LULL,input_OT
output_HUFL,0.008503012249908504,0.0031829152849961323,0.008843551019100048,0.0035436883507323678,0.0034776858955951674,0.004314883826025186,0.005292008375508605
output_HULL,0.004712039421139919,0.004740523127719287,0.004612753341214551,0.004712414277765018,0.0027608852865575705,0.003617631757594629,0.003920473388317752
output_MUFL,0.00870340503019121,0.003170462065401173,0.009004658593180467,0.003555864108745962,0.0035037454856841747,0.004379344051314631,0.00515445773132761
output_MULL,0.004393193160421395,0.004521939041504161,0.004283429698297526,0.005131707687507106,0.002315211840955995,0.0027897533329913856,0.0034641682099193507
output_LUFL,0.00453786547218248,0.0028039160266113013,0.004302473743820909,0.0036371831621743837,0.004028291855332272,0.003718367065995072,0.005459684507309583
output_LULL,0.003507015337983272,0.0025921736640274304,0.003318253943488655,0.0023961883301684213,0.0026447695637268815,0.0071498703330428875,0.0030111016684879915
output_OT,0.0033324791724748397,0.0018736245170506976,0.0030889690600438766,0.0019138913370523477,0.00190564685303024,0.002546625663222311,0.009645082309221155
