model,seed,epoch,train_loss,val_loss,is_best_epoch
TFT,42,0,5.625748634338379,5.6471405029296875,False
TFT,42,1,3.6208629608154297,5.424534797668457,False
TFT,42,2,3.10964035987854,4.6292314529418945,False
TFT,42,3,2.4577300548553467,3.4976890087127686,False
TFT,42,4,2.212634801864624,3.4676692485809326,False
TFT,42,5,2.0884294509887695,3.3090593814849854,True
TFT,42,6,1.9881625175476074,3.6307356357574463,False
TFT,42,7,1.919495940208435,3.3961856365203857,False
TFT,42,8,1.8799703121185303,3.3991942405700684,False
TFT,42,9,1.8641241788864136,3.4213688373565674,False
TFT,42,10,1.8504904508590698,3.3988230228424072,False
TFT,42,11,1.8467843532562256,3.4234559535980225,False
TFT,42,12,1.8439390659332275,3.388242721557617,False
TFT,42,13,1.8408809900283813,3.4042396545410156,False
TFT,42,14,1.8449161052703857,3.416166067123413,False
TFT,42,15,1.840653896331787,3.4049131870269775,False
TFT,123,0,5.259246349334717,5.7455034255981445,False
TFT,123,1,3.6342341899871826,5.620147228240967,False
TFT,123,2,3.120103120803833,4.477200984954834,False
TFT,123,3,2.3895387649536133,3.874624490737915,False
TFT,123,4,2.1663248538970947,3.6386141777038574,False
TFT,123,5,2.05995512008667,3.561429023742676,False
TFT,123,6,1.984383463859558,3.4264450073242188,False
TFT,123,7,1.9283843040466309,3.3408126831054688,False
TFT,123,8,1.8873199224472046,3.4411377906799316,False
TFT,123,9,1.836686611175537,3.2827444076538086,False
TFT,123,10,1.815667748451233,3.268700122833252,False
TFT,123,11,1.7976326942443848,3.239379644393921,False
TFT,123,12,1.779101014137268,3.2254273891448975,False
TFT,123,13,1.7688696384429932,3.1815576553344727,False
TFT,123,14,1.7511063814163208,3.092092752456665,True
TFT,123,15,1.7387882471084595,3.1254684925079346,False
TFT,123,16,1.718664288520813,3.12280535697937,False
TFT,123,17,1.7059632539749146,3.157259702682495,False
TFT,123,18,1.6981467008590698,3.1369779109954834,False
TFT,123,19,1.693362832069397,3.158068895339966,False
TFT,123,20,1.6976038217544556,3.128729820251465,False
TFT,123,21,1.6940548419952393,3.129469633102417,False
TFT,123,22,1.6936537027359009,3.13607120513916,False
TFT,123,23,1.6902304887771606,3.1346452236175537,False
TFT,123,24,1.6913360357284546,3.1389212608337402,False
TFT,456,0,4.938326358795166,7.1910810470581055,False
TFT,456,1,3.589444398880005,6.175990581512451,False
TFT,456,2,2.8815810680389404,4.592466831207275,False
TFT,456,3,2.3226797580718994,3.815080165863037,False
TFT,456,4,2.1371371746063232,3.630621910095215,False
TFT,456,5,2.0431551933288574,3.576458215713501,False
TFT,456,6,1.9707202911376953,3.5083043575286865,False
TFT,456,7,1.9088960886001587,3.5264687538146973,False
TFT,456,8,1.8467901945114136,3.4080162048339844,False
TFT,456,9,1.8185073137283325,3.320908308029175,True
TFT,456,10,1.801381230354309,3.6643896102905273,False
TFT,456,11,1.7685528993606567,3.392861843109131,False
TFT,456,12,1.7535516023635864,3.385462522506714,False
TFT,456,13,1.7450075149536133,3.359589099884033,False
TFT,456,14,1.7431529760360718,3.3567538261413574,False
TFT,456,15,1.7391144037246704,3.3423750400543213,False
TFT,456,16,1.7421596050262451,3.349252939224243,False
TFT,456,17,1.7400639057159424,3.3564536571502686,False
TFT,456,18,1.737535834312439,3.3454761505126953,False
TFT,456,19,1.736485481262207,3.3411266803741455,False
