model,mse,faithfulness_gap_mean,faithfulness_gap_std,faithfulness_gap_min,faithfulness_pass_rate,faithfulness_score,faithfulness_available
LR,7.660473462340194,0.812003760837844,1.2158400739129216,0.004107022168897689,1.0,1.0,True
MLP,9.35741938880724,0.17298847559929212,0.14541822623981454,0.04661202446872911,1.0,1.0,True
LSTM,12.708528113563462,0.34115524946687065,0.2238378643618753,0.0992474933800401,1.0,1.0,True
TFT,14.186401651751865,0.2339537429285905,0.0181280152945466,0.2132082056280038,1.0,1.0,True
