seed,n_test_samples,best_epoch,checkpoint_path,n_params,mse_scaled,mae_scaled,rmse_scaled,mse_original,mae_original,rmse_original
42,3365,5,C:\Users\diren\Downloads\thesis_project\checkpoints\tft_seed42.ckpt,18261,0.655210018157959,0.6095733642578125,0.8094504420642187,13.844167709350586,2.3536150455474854,3.7207751489912133
123,3365,14,C:\Users\diren\Downloads\thesis_project\checkpoints\tft_seed123.ckpt,18261,0.6463640928268433,0.602059006690979,0.8039677187716203,14.973467826843262,2.3652596473693848,3.8695565413679205
456,3365,9,C:\Users\diren\Downloads\thesis_project\checkpoints\tft_seed456.ckpt,18261,0.65571528673172,0.5871270895004272,0.8097624878516663,13.741943359375,2.2465736865997314,3.707012727166579
