,input_HUFL,input_HULL,input_MUFL,input_MULL,input_LUFL,input_LULL,input_OT
output_HUFL,0.010337984677013039,0.004789544507531638,0.009550331207233698,0.00400536057964114,0.0048549176619677595,0.004539157924818466,0.008076926042408374
output_HULL,0.006687437851756084,0.007345324645181293,0.006203142447693012,0.0061529541617852445,0.004458134080525496,0.005648224218295788,0.008027286807694456
output_MUFL,0.010093611037687578,0.004707409655748176,0.009593959727685437,0.004029693892344174,0.004526483175546031,0.00425630018038129,0.007328926827362524
output_MULL,0.0069252490488400905,0.006977332305211065,0.00634743992792539,0.006555721805951893,0.004018161161486127,0.004679244001465331,0.007767454482695438
output_LUFL,0.006779187547133654,0.005045765284353063,0.007061937838748495,0.004003208243805333,0.007380100157545454,0.005014862042052023,0.009896741097596034
output_LULL,0.005414017375978619,0.005049744995212199,0.005102667188208761,0.0034624478263416848,0.005302576584384781,0.008881251325941779,0.006557285250682772
output_OT,0.004835745980103659,0.0034801788620664243,0.00470958767758332,0.0029307649123424587,0.0032086399432779376,0.0032973889318625373,0.012879405485776199
