model,k,mask_type,masked_vars,mse_scaled_mean,mse_scaled_std,seed_count,mse_increase,mse_increase_pct
LR,0,none,,0.3498316393198237,0.0,1,0.0,0.0
LR,1,top,HUFL,2.6502318907423428,0.0,1,2.300400251422519,657.5735276246535
LR,1,bottom,LUFL,0.43992357183852365,0.0,1,0.09009193251869996,25.75294009823278
LR,2,top,"HUFL, MUFL",0.7569936089511398,0.0,1,0.40716196963131607,116.38797749196142
LR,2,bottom,"LULL, LUFL",0.5353976675103251,0.0,1,0.18556602819050144,53.04438116326378
LR,3,top,"HUFL, MUFL, OT",0.9380620290523134,0.0,1,0.5882303897324896,168.14670933600624
LR,3,bottom,"MULL, LULL, LUFL",0.9339550068834156,0.0,1,0.584123367563592,166.9727097009581
MLP,0,none,,0.4663315872869609,0.018646346627677276,3,0.0,0.0
MLP,1,top,OT,0.5840591603625641,0.010379877078488501,3,0.11772757307560322,25.245464018537223
MLP,1,bottom,MULL,0.5374471358938351,0.02502038179666691,3,0.07111554860687419,15.249996042646938
MLP,2,top,"OT, HUFL",0.7003003412096662,0.0018834184159092645,3,0.23396875392270533,50.17218655161157
MLP,2,bottom,"LUFL, MULL",0.5598743840237542,0.025161331999726404,3,0.09354279673679333,20.05928813036442
MLP,3,top,"OT, HUFL, MUFL",0.9647849419173326,0.010067320331834507,3,0.49845335463037166,106.88818176145644
MLP,3,bottom,"LULL, LUFL, MULL",0.6328574967740973,0.04463714030163477,3,0.16652590948713641,35.70976404492698
LSTM,0,none,,0.6344634377351911,0.038879504577498676,3,0.0,0.0
LSTM,1,top,HUFL,0.7072673724520991,0.06422545091603041,3,0.07280393471690805,11.474882615268141
LSTM,1,bottom,LUFL,0.6080198790720589,0.02857139204821776,3,-0.026443558663132194,-4.167861706503734
LSTM,2,top,"HUFL, MUFL",1.070127604834654,0.06811143932135015,3,0.4356641670994629,68.66655211128148
LSTM,2,bottom,"HULL, LUFL",0.6868465667396341,0.020193680710199526,3,0.052383129004442974,8.256288052063665
LSTM,3,top,"HUFL, MUFL, OT",1.3127610592395287,0.12975690615020635,3,0.6782976215043376,106.90885891322895
LSTM,3,bottom,"MULL, HULL, LUFL",0.7718238423139768,0.020418493821604777,3,0.13736040457878573,21.64985346817045
TFT,0,none,,0.65239637449867,0.005189151238897701,3,0.0,0.0
TFT,1,top,MUFL,0.8732771444353152,0.1979760639133437,3,0.22088076993664518,33.856835900778826
TFT,1,bottom,LUFL,0.6600689388073114,0.024589283390874784,3,0.007672564308641383,1.1760586981399639
TFT,2,top,"MUFL, MULL",0.9104210876870237,0.12133969513412515,3,0.2580247131883536,39.55029844956314
TFT,2,bottom,"HUFL, LUFL",0.668511588748113,0.02118609930029418,3,0.016115214249442955,2.4701569290336094
TFT,3,top,"MUFL, MULL, OT",0.9360912999839007,0.09502908654022887,3,0.2836949254852307,43.48505549302512
TFT,3,bottom,"LULL, HUFL, LUFL",0.6893477757650438,0.01814892216255823,3,0.03695140126637375,5.663949511486606
