,input_HUFL,input_HULL,input_MUFL,input_MULL,input_LUFL,input_LULL,input_OT
output_HUFL,0.07000788573648421,0.02086464967093811,0.06216089078601061,0.0170011169884889,0.01214768343435391,0.012053421468720663,0.029302742585590815
output_HULL,0.0495341893224806,0.024053437419871555,0.045807963020290735,0.01576576067924637,0.010624592723202224,0.012414475322914544,0.02714773875428132
output_MUFL,0.06274085762752107,0.020375796161327488,0.058966160045152226,0.016356162121574095,0.010833247204018653,0.011341888934325271,0.028798583375822917
output_MULL,0.04835640053244778,0.021209901531271842,0.04467260946406448,0.018437157743226226,0.009356678952021458,0.01140991942891173,0.026731474690626467
output_LUFL,0.0839072306264543,0.02278950742665808,0.07663237219553609,0.017669526888018303,0.020902692197559705,0.014169514264616531,0.0335124731821673
output_LULL,0.05156418291733724,0.01596570897871111,0.048491784660931216,0.012393823292975146,0.010641051751820967,0.014965807672272234,0.022489584275998894
output_OT,0.025659550687902124,0.010127283150657218,0.02387018277329813,0.007601579323145728,0.0037241107823144342,0.004552258594238777,0.023266785260696872
